draws,lp__,overall_mean,yearly_trend,theta,sigma,p_jump,mu_jump,sigma_jump,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
0,-49446.38659842283,50.30968537557262,-15.868060735702997,0.14511687608395088,3.5590407167773037,0.12389726346002017,2.378921871393089,10.194993296770342,0.24939167858036349,0.17551912292336627,0.06563991140058006,-0.43295709633024465,-1.4703818018373813,-1.2950556519040402,-0.8973125164082618,-3.048972807434753,-3.6474627799715775,-1.9325564373686999,2.625038658270913,6.673656206625793,9.215617769914537,10.354894668726901,9.44872952285317,7.500044206871109,6.1997255987180875,4.170093540924355,2.740827258536284,2.9860835337582934,6.364827175196023,13.126259530179274,19.19020720310247,17.40461575468624,13.909234711173847,8.744407019143445,4.698179568231601,3.31618686350483,0.4772595571152798,1.977139671234362,-0.8142954636663761,0.7896022672196764,3.8191228629671365,-2.3437673501364915,-1.368161850515798
1,-49456.11680888472,50.724729616917536,-16.114233730989277,0.13867290505529276,3.427519804967813,0.1585315248313779,1.854986203917367,9.256423037728943,0.4122068732313918,0.6898999115674849,0.6063023326778305,0.39602131192127565,-0.3469273884475131,-1.7624855323726658,-1.4506847612296658,-3.4607269415397504,-4.056166880349807,-2.261554605990133,2.2751044975409673,6.511690541193353,8.890044460832453,10.224094987399901,9.432420509102709,7.570729266763184,6.174162168200572,4.254585849446275,2.6301679824441586,2.8460393899963385,6.088067318028,12.640304471594316,18.725373053990655,17.490992743974306,14.032845750382174,8.965271919704412,4.9701553339501725,3.67720196442047,0.7335246939651454,1.9615680819585621,-0.4000033763470239,0.7043113006632302,4.026803453281318,-2.040062749178067,-1.091659766589805
2,-49451.08534899577,50.63984427883074,-15.933838723481921,0.14971291641457588,3.5286559355589477,0.1192647517518723,1.694580374792152,10.328358395427369,0.12059002206397615,0.6174710900287335,-0.2030728954638179,-0.1372656166371736,-1.0613952928470307,-2.0154699045431648,-1.2315129735847115,-3.1434522369236264,-3.865489742201164,-2.0236427969102255,2.4780021515217063,6.588953854498908,9.227488640636318,10.56814870101254,9.672749474801657,8.233522062144194,6.667305780765354,4.6295111526616965,3.231110563189398,3.3405559766065136,6.4099755746730365,13.256192458186444,19.329566906592103,17.618069429149404,14.103511472302946,9.104708983616023,5.024409942076789,3.3411880339866253,0.6189716331931487,1.7196640342224292,-1.2907902391030186,0.9557748269270562,4.403895454422934,-2.1053917687836794,-1.531780426170289
3,-49445.19815674742,50.31294666511476,-16.143678456641485,0.14134125144149132,3.4336486901723555,0.14051919454566103,1.800551977889351,9.79185981532769,0.6035578513206447,1.415055281798078,1.3130005889677339,0.8124439961799496,-0.7284923788229816,-1.0500465941077266,-1.3600409919534346,-3.226181353905984,-3.8395896063155353,-2.3125296084318725,2.175356562279259,5.84589560168443,8.401891082814593,9.742908055914334,8.935855976800728,7.106469099401044,5.673040276992336,3.821394623416964,2.349529420278996,2.60046404432072,6.065902342707141,12.761058533033557,18.835114061823983,17.266016917454433,13.554511271216631,8.677823144463314,4.6675283808259636,3.156709090821272,0.6197028888825112,2.3566375664350776,-1.2889923922638984,1.093958431925209,4.361196944762844,-1.5116397836780942,-1.5593938333772799
4,-49453.55222034195,49.81397180228462,-15.519810450659692,0.14627516991633835,3.494383098929111,0.12286340081824543,2.2982809961976893,10.20757378282054,0.5278324140480818,0.21126208464902368,0.08468789442543073,-0.4917979494590748,-1.893879689440002,-1.375981167718471,-0.9874793499375878,-3.2056661893736362,-3.691740063408603,-2.032047530745532,2.6150066411450985,6.84620587108561,9.204401025361538,10.41150496255905,9.341750721284704,7.678935085790543,6.107434166126279,4.342852137567336,2.6757774579122695,2.9963558909088785,6.46402818473445,13.00840406452472,19.280138060635114,17.573013028223542,13.844574979979265,8.848294387743797,4.812580300967649,3.2783262258973545,0.5518681319652667,2.3636327812035214,-0.8147192716786822,0.510294889948949,4.089655530850551,-2.3223392589587073,-1.3726669695544262
5,-49451.837956190975,50.37634503577546,-16.516330478837084,0.14007396443207,3.520752426791214,0.11731649223773709,2.0414778420619295,10.27437116749259,0.5913211887848168,0.7033597658850088,-0.3828612784887845,-0.0015301024701636773,-1.2212620555842069,-1.7658597607579594,-1.0047642174248936,-3.0780008925786704,-3.6950163276234815,-2.041528275791257,2.6165166887335514,6.610997236546241,9.221131510390986,10.698609037156595,9.613320517645763,7.812581098975153,6.567662167322116,4.742955269710469,3.0382116891791955,3.4310250899358756,6.796373558023821,13.509481379430389,19.52094318693806,17.907029064059152,14.239930255721276,9.07375843653851,4.886324096712857,3.1203387264155773,0.5194209562569189,2.4761040598554533,-1.328168340538642,0.7030054212991568,4.436492688952426,-2.439992294767746,-1.615151099722005
6,-49445.792113107884,50.2074727581511,-16.01410915335892,0.14405188405726588,3.5180465790908926,0.12041287159340427,2.203380165523696,10.351897491641731,0.19770933354653564,0.6834386504922799,-0.14543163432716574,-0.23386319819430385,-1.1425758326936826,-1.4618502849265875,-1.0789040976544066,-3.2050690547173026,-3.7653655848053806,-2.2680769166199206,2.607514181685661,6.736375054496635,9.121953913074972,10.6044129557791,9.415690307430127,7.503017869144523,6.1572983071720175,4.290946057514681,2.6318277249485806,2.8757043312130883,6.521108420038925,13.232501779423634,19.24498478946299,17.56441261768034,13.94779026952459,8.953213910853398,4.839039876376414,3.2716303409798857,0.624347880692949,2.671476300830455,-0.9976884716928485,0.5963382515434084,4.174860063682025,-1.8692763115756903,-1.6263690175086551
7,-49446.8100856211,49.810509020198914,-15.720788035949155,0.13915877603014343,3.4394670920233934,0.14535726441015104,1.6285754993665726,9.747672826434608,0.5726767110156985,0.9892306555153634,0.6598399360228376,0.7425684874451198,-0.4103695358177031,-1.5079317967430348,-1.0203431469690782,-3.1765853320401836,-3.7715204714658177,-2.282460929033,2.1046128645632067,6.19654164272877,8.626748462663164,9.674479136900366,8.744619039756987,7.061940023241922,5.7451149280232965,3.832368500555501,2.383478120822298,2.636271171714893,5.939134735128657,12.713396353297428,18.906916845388043,17.263111953906694,13.837407210850712,8.637483974350975,4.549985087761668,3.325317566953306,0.36760078265308593,2.153831827528395,-0.8474502307186249,0.948809451103329,4.416891772585454,-1.8273501486019825,-1.563950286204235
8,-49448.38750811127,50.35686649714747,-15.92663947810898,0.14493894143721978,3.489063072145912,0.12174049518163725,1.9293133449352269,10.397622384395182,0.11586780340328898,0.866473061431194,0.6327179545638403,0.3467111541221137,-0.9174883389082706,-2.178099001689008,-1.2153793956647114,-3.1570895433111033,-3.5307343526880204,-1.9920412026830323,2.375374872069316,6.619528450616411,9.179845460556615,10.395740287208097,9.615138593484678,7.7053089111507385,6.488996811155948,4.424949517179078,2.8254843780908208,2.8764611842681034,6.232368915030087,13.03280029848966,19.215745690872943,17.703174619503432,13.922806208033059,8.992934663177657,4.99530932404348,3.384824045250108,0.6469748023773879,1.8408068521222636,-1.2675121837999102,0.6057698048220743,4.576539952469641,-1.7884075066695182,-1.8684207141023494
9,-49461.35367956709,49.721628745456215,-15.91490193236758,0.15423631048070421,3.5847518448831974,0.12053478464161729,2.18859196368576,10.687652597773017,-0.43098038185052245,0.5410440597584059,1.1666475923145905,0.6178300859816722,-1.0570877268764258,-1.5722805933386834,-1.2067052514930443,-3.1363849654328737,-3.6786010098596216,-2.074902761574995,2.3648073052236556,6.36641089753895,8.887236897239134,10.65005999562939,9.57973775029681,7.8313832017093,6.627069245752796,4.545591951609423,2.8599183883238055,3.132274335048804,6.711851948130233,13.637597637303656,19.67554188241298,17.941704174946782,14.241862601270093,9.057860371892264,4.849782739095705,3.6665272706984675,0.5182415086572446,2.220265361676865,-1.6489761958447615,1.121045920145511,4.134024647542898,-1.960305433553643,-1.8545019862334176
