,lp__,overall_mean,yearly_trend,theta,mu_v,theta_v,sigma_v,mu_jump,sigma_jump,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
0,-75319.6941261412,49.52982710586701,-13.746698556150834,0.12480143217905582,1.436161769471926,0.23876876627368962,0.5983753975619861,0.9292500462561917,1.0796268921041392,0.1483259104820434,0.625338671536171,0.06986372444820978,0.07119095571250278,-0.7533381243619164,-0.9436243474097116,-1.1782784645808468,-2.7830294423215154,-3.4079946019123826,-2.2675759274665057,1.6247932567996404,5.310280513454197,7.282118810624114,7.833083629584287,6.65481063736047,4.574529027705303,3.0051050751313695,1.341521703020241,0.015353352725528022,0.14604653278253557,3.412970489643273,9.182818790530368,13.97557797752631,13.345031406089356,10.49050144091009,7.342554524944141,3.761240833596853,3.488307346371101,0.6775537860495718,1.2726876941088934,-2.0330135973920282,0.037677583860282186,4.696846518024285,-2.2259196695341283,-1.8493554320771273
1,-75165.49679604586,50.01412270587847,-14.470276350117327,0.1275945844894187,1.4548811108721422,0.25098835376684003,0.612268085342683,1.0433530772565518,1.3815069513166587,0.5690082269659953,0.9373730301420842,0.53534784780914,0.47535521065992686,-0.1841693073559289,-0.864952822167054,-1.3339625251416967,-2.923711789913321,-3.6005169451560843,-2.627066792643525,1.300281684179131,4.74700614977997,6.774411371680314,7.43299306479373,6.14790489557862,4.24949303312368,3.025874259679029,1.2479578837199061,-0.16731780938360344,0.03132710323898148,3.45359005926687,9.302759075217516,14.61541378074768,13.662651986768294,10.818198342085031,7.507445787781268,3.8022410427885966,3.564593578483263,0.8198491018857981,2.0391334231116223,-1.2020650434198932,0.045812878413010905,3.819793049777511,-2.3489128069800262,-1.4491792843886766
2,-75123.92140331803,49.270336084801414,-13.850048681825312,0.12894385286778692,1.4243867120935934,0.27047734080677693,0.6427513723197628,0.8847119892928955,1.507206777223703,0.35078803804049336,1.2069975477266195,0.6387871018753875,0.2641590819184626,-0.8084495381406142,-1.2301068483000777,-1.1929373661304192,-2.924060635926614,-3.615141441891484,-2.618341399716777,1.6296193676661854,5.419537312728453,7.470313728097815,7.8849910340455445,6.574590526152284,4.792254298947355,3.271093371616171,1.5539710699379727,0.29509407134760834,0.2868077057587394,3.3520072286900615,9.25767653002904,14.458351853929615,13.596484907486634,10.69219972383652,7.218555241232676,3.2677564551006046,2.8911212111946147,0.6366719218238295,1.7624492521242923,-1.6465534853508779,0.01955324967782119,4.416805831088187,-1.6567391851674826,-2.0145924240288404
3,-75213.56358983408,49.371518738425564,-13.825771852518441,0.12442682171502241,1.432885586211733,0.23011260382330562,0.6051661057906922,0.9676152142674456,1.1417166713214986,0.3600368585971596,0.6265781246479909,0.16545793831672084,0.4310760911215955,-0.56332818383588,-1.0127048320878522,-1.2105863285894212,-2.704642846474857,-3.3981730235288485,-2.4317869768532696,1.7252708194561457,5.279370216093696,7.127341885116051,7.698244049596559,6.396867939320549,4.551867361331263,3.104915398573415,1.2767030519095652,0.07435624083695468,0.005187389704983225,3.2621123250636264,9.085313337353131,14.154796468947678,13.262659821739266,10.476177914236734,7.487463771095978,3.837325153271982,3.4003627754505614,0.7002687944786294,1.5228013817924266,-1.9487813022585503,0.05309297247542424,4.4664014334000255,-2.374033092830107,-1.682034627710128
4,-75164.78031571285,49.23396579828743,-13.099801129477676,0.1319573393480733,1.449257334793522,0.2750984407231176,0.6399410470600033,0.5112722744766809,1.5644444758851608,0.030056154342840646,0.8430942110063955,0.5117192051721544,0.5442005978565915,-0.9315617963828966,-1.0426515166421992,-1.2391358067454783,-3.1204153378901744,-3.767028047128788,-2.4595332599775706,1.8551401056337258,5.167433737606012,7.114750581180215,7.482101093691732,6.264884453766542,4.5073865135848665,2.9900071977176994,1.1362859865732773,-0.18953622197043338,-0.05039159329097747,3.096250254648394,9.077471965059626,14.160776506570608,13.193091017241121,10.709513030614437,7.022272075855421,3.6396306685500797,3.3784931341826185,0.7586157960623431,1.166778700327286,-1.3033241498501371,0.5550668250467403,5.111193769321509,-1.9850830629956797,-2.236522216846606
5,-75189.3872450027,48.435598736261944,-12.93486498074237,0.12479577026315546,1.4256166567031183,0.2924883761551643,0.660748756216279,0.6479064075869523,1.5402116345165615,-0.02514427741603829,0.6907462966824234,0.7507201580476733,0.5172146433679023,-0.4784763127341569,-0.5710235376373201,-1.178753132110719,-2.839972861358315,-3.468445465105869,-2.3223162918745373,1.8038245403693247,4.948798631030745,6.832118028436059,7.3863506603225675,6.370322480147099,4.622127561517904,3.1525320957798924,1.49047153859504,0.3331122204404405,0.2549821836229576,3.785103432154555,9.470814764857288,14.432487950795382,13.39563662776413,10.474175995090235,6.948388824049698,3.299303201889063,3.059031498938538,0.5046286925815276,1.5820729681917407,-2.2072028372452897,0.4149283953850998,4.736849051520601,-1.8852834082075145,-1.4892348857243893
6,-75262.99530325242,49.17236332738092,-13.947834104336204,0.1246322284119687,1.4329705067616156,0.2312886013050333,0.6002314723555079,0.9822427703159855,1.0884093499994194,0.27901431156273376,0.6374219127753635,0.3098184767025758,0.5251281149263745,-0.41291883934198903,-1.0441479565670198,-1.2604016372826552,-2.780991249627959,-3.426095814715491,-2.4599141134024385,1.7375739866326962,5.348821347647795,7.106069245511665,7.770152540340284,6.471763862259223,4.564873630565729,2.9935777227585887,1.18891873302195,0.007892985505796427,0.036725568474717724,3.2831957612489115,9.056675841620914,14.183238158057117,13.264679099694431,10.422111074611479,7.451933333819128,3.867944364857305,3.3965371473094508,0.6817560411221384,1.522060183299525,-1.9009028721214096,0.2597954988076614,4.4519976353367126,-2.2583804716090428,-1.7688124943169103
7,-75135.61217481701,49.40565463773755,-12.982680610578084,0.13177145308328392,1.4408718540460186,0.2733199830305556,0.6514335025052761,0.47356893949128565,1.5609278973306753,0.12094298044457165,0.7054801711503128,0.7331627463345429,0.5095673375503725,-0.7681396177485642,-0.9416840362407449,-1.3251758229182005,-3.019733095605734,-3.762069382406684,-2.6063245957784176,1.8316317111830347,5.193862713419144,7.089770540688723,7.496987730170831,6.273190863335844,4.493737657272349,3.0607484798663585,1.16234197257675,-0.19687917140506966,-0.2127973658727846,3.084785031433151,9.034534123830085,14.186969285853355,13.098331590965442,10.588604558788665,7.11844855571249,3.5439083974312995,3.2996272045312898,0.7226078291525374,1.082064874816196,-1.4473371784909022,0.5770762549895582,4.998779696451937,-2.0854885623990493,-2.1352745056954046
8,-75304.26281959361,48.920974160247944,-13.449028825077672,0.12900642202265628,1.4099863007655598,0.2966305555605494,0.648694652266175,0.7366366866905287,1.1332387412690237,0.18672217162144708,0.6111489229345547,0.33520983967408063,0.1767023508175113,-1.0411951995984925,-0.933712034072041,-1.2251472393619465,-2.986247780636198,-3.7012363917209,-2.4668634753490375,1.6097412020351558,4.960869503929632,6.8937046928461,7.542967741771801,6.444474186977333,4.574050286445618,3.1052075179373384,1.2586403431327393,0.009615589316981824,0.04061824865257047,3.6921618832426604,9.464436220738872,14.561107247301505,13.480662417211173,10.650183527137246,7.145660607166303,3.543630335587324,3.2826874007393996,0.7487680844159491,2.3097850029059734,-1.0951092019835826,0.3116190889885596,4.376815794918604,-2.224846157700486,-1.5457836066392663
9,-75097.4463400373,48.99851052007973,-13.848517055495527,0.12693210256764176,1.445130636137956,0.2448322380303281,0.6185765457776313,0.9103489407387825,0.957630247403715,0.3713318530965148,0.7185469126987397,0.5138700562550446,0.6538693348099606,-0.4309964716136693,-0.6083039360328839,-1.1084917417871964,-2.835444830892768,-3.559286537285896,-2.2638803128440377,1.630666465704665,5.164613564197348,7.117078701785308,7.298569802137141,6.21910366561961,4.4141538857585365,3.1182854873417005,1.1995784384061996,-0.12122344051604424,-0.1582143563105702,3.135124203931576,8.886454618269347,13.83209233429595,12.98856739766896,10.578249748153524,7.417060743327394,3.570684547817787,3.3216799863376325,0.7500764473611015,1.2974022091919388,-2.279295718861788,0.29875091699003087,4.16692445759217,-2.5756776463514814,-1.5493588599981936
