draws,lp__,overall_mean,yearly_trend,theta,sigma_v,theta_v,mu_v,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
0,-55677.13452209178,49.281164653099104,-13.24622109465131,0.1204559041193154,0.6207925018133531,0.27644055152413227,1.2773810703342912,0.27351539617666654,0.4011980752531999,0.22777570386004897,0.28712419777131076,-0.9710840268500102,-1.069748968906292,-1.140099839671662,-2.909764442745378,-3.5988019526106547,-2.488777160121758,1.8268210671890177,5.096701793855962,7.243904654728519,7.883302442361604,6.60104436495372,4.670367984857844,3.20853784056246,1.3236488679647735,0.018867460368514062,0.1677983950945499,3.7088526047655073,9.812284627949534,14.900220265785949,13.985429850393013,10.933485958745333,7.359805807007898,3.8058792254820926,3.523618714849242,0.6422952732308964,1.4485279249369547,-1.9579998133618062,0.29261387158900043,5.193336000487289,-2.0063150997785137,-2.198062505075895
1,-55885.88701986608,50.6538460266049,-13.847191982594934,0.13416229030325977,0.5951142687532495,0.26533712436595047,1.3238909935696983,0.4240828834800661,0.6497139493968691,0.6312208131878446,0.6223489985187421,-0.4022668907961958,-0.6331314642971615,-1.1239944440193603,-2.8646622165899758,-3.5287581532079515,-2.318946927777944,1.721051369892219,5.231990269264917,7.162219848751903,7.4489686025085176,6.21295437062015,4.574233872883963,3.074225301184204,1.3014422707318531,-0.07505065841889809,0.034725829450492726,3.5109007689020393,9.391388704783974,14.572968302750901,13.675968685462603,10.857215117008941,7.381037003068533,3.773389835773847,3.237073561712264,0.6863513089978021,1.3417664534229978,-1.3218631163475187,0.0017091797182922641,4.305210576343281,-1.8318694468948786,-1.5643280345866362
2,-55719.41642323427,50.00891405080305,-13.637871710084013,0.12632078691681067,0.6263532423498637,0.30080542436277635,1.3058107395699083,0.49382958443493263,1.0031445499318261,0.34501154803927725,0.08455955970613345,-0.8158852493501045,-1.090009252502634,-1.1882887874706893,-2.9884386902004927,-3.4821509373837216,-2.25321644698078,1.626217704094196,5.423496225604354,7.215250599731073,7.653513506740805,6.283315225073374,4.684360546452142,3.0805051513992328,1.1428067781567928,-0.11309781151686439,-0.041849015222389374,3.4856126837217545,9.408113291973478,14.73322454597769,13.646408690832148,10.856168007040012,7.49486777192404,3.711471369287616,3.2182772962530874,0.5756174020917993,1.5904886694414635,-1.3314323498952965,0.4624495747760056,4.452066561202955,-1.5462420587044345,-1.4130411665574598
3,-55738.14809126741,50.24659327650462,-14.004254093117675,0.1209380905437278,0.6348998185372018,0.3019189054117283,1.2879340499465066,0.4147741293837573,0.8234500077515758,1.011735554468449,0.5778237400248107,-0.6685010485921506,-1.0998409581780075,-1.3409616821094132,-3.0794668835552814,-3.582834786739687,-2.432699974375765,1.6940504370936458,5.1738125769512955,7.3790310960682834,7.847816692344334,6.656388884139577,4.839402665543585,3.639232334837759,1.5403599624255648,0.20293157320281532,0.13565384750462894,3.427599744301282,9.333581626412286,14.53133032086316,13.492863215028358,10.774795262522872,7.270767214181779,3.766851083910152,3.424148476170136,0.8363307753663848,2.0225181218532953,-1.3969906250455024,0.4041007519934777,3.454597290215859,-2.233869688867989,-1.5426429025125703
4,-55790.952267833505,49.98156352405331,-13.474350316132881,0.12083312873756684,0.5964589272255267,0.27393574593081454,1.3132421113940955,-0.022485201715994656,0.9790058448075571,0.4739993056537723,0.26740528761776966,-1.0109962089332216,-1.265020904816412,-1.261380199979602,-3.0444883332602806,-3.5976027394832832,-2.6854487460355068,1.4194374469712814,4.873089680866367,6.7281782713703775,7.533466962827458,6.316903511521229,4.599199451749766,3.1297596449428724,1.3042868181884089,0.0015866349243997494,0.07258644140360411,3.065789410069878,9.129791444524804,14.32613760993648,13.424837040231193,10.71257504151146,7.228891648475812,3.619145503515771,3.4527587973040945,0.792244374796227,1.9354042793182267,-1.1456442011689791,0.2224755272841158,4.6887961585610185,-2.1183375307513463,-1.7031979887475301
5,-55694.30489329585,50.13657392571023,-13.29444539678747,0.12259659256772125,0.6217278577620945,0.29609335884794047,1.302732271981198,0.433231433564444,0.5364917703079469,0.03602695932363794,-0.1009235527728137,-0.6532755584975433,-0.893953489098563,-1.331971714203605,-2.847627106939893,-3.46791760608054,-2.2154993247567187,1.9150913807552763,5.353938511840234,7.40770633102396,7.738570424380892,6.4747428253042445,4.591698166340024,3.1016645027643515,1.3453740255800553,-0.018380576453381738,0.02764109894903223,3.5161958768182378,9.355972908787306,14.448791816892808,13.732296581338282,10.924897199793746,7.357593324741379,3.7517824605535792,3.2353491498171603,0.747605492839548,1.3374992494735731,-1.0507109933255319,0.3000997279373748,4.493868991430584,-1.3731682406239734,-1.324879030946934
6,-55797.26255728602,50.10110193593049,-13.830828515134009,0.12242547072082267,0.6204114425705252,0.28960361716220956,1.3063813413258458,0.07667977543373522,0.8505159451261325,0.14878521162108904,0.048907522042657706,-0.8858982934208828,-1.0635256506338615,-1.2185540930365573,-2.8195598567358258,-3.33377909800193,-2.29301407716149,1.8101882408330403,5.101042491757226,7.099161938938153,7.681838296654496,6.258327209343154,4.613983117503424,3.2449452600658018,1.4916383467796404,0.016864511593363565,0.25799555685966347,3.5185717092155575,9.558926345035685,14.738213755711538,13.713692243368959,10.884122134624544,7.328343999187385,3.569481540549413,3.1579904644737966,0.5666393977618639,1.6197979945944814,-1.2967859208173664,0.24235573465316268,4.698838389512592,-2.0508170282316267,-1.8556016296412803
7,-55917.80786939175,50.804501843348056,-13.939906980335614,0.12816490010781714,0.5851088696516717,0.257455716942314,1.30060070066434,0.2685675153627388,0.48306832101840014,0.4365968828470611,0.23777688732326233,-0.9941418759259142,-1.078060282886567,-1.329897481688749,-3.039207209136144,-3.8610295695143173,-2.903323571459013,1.1127392243818197,4.850537689872694,6.79521689858216,7.698428132218987,6.4850182869676205,4.757919850213681,3.243059721576682,1.4213104253570115,-0.07550670735539736,0.12470151135621638,3.299006819243059,9.30317262670076,14.417681949857643,13.534483140734624,10.797217206338916,7.533358526288725,3.6918982766838337,3.0699299281748336,0.606050704662242,1.2049907808570524,-1.0309993941093143,-0.006225194993031688,4.445823391185087,-2.2071297026525953,-1.1653952771642728
8,-55801.244302501895,50.520223746062065,-14.080303756883026,0.1215575994378696,0.6245581846523458,0.2914520789256352,1.2866961007440272,0.07958342269633326,0.7805154318527211,0.7085524231128915,0.5504199628798392,-1.0297283840472276,-1.2951073397419925,-1.1775141708701775,-2.7893458711944406,-3.4861200406593897,-2.3407449867932777,1.8691068089458125,5.07890407449902,6.948064077770347,7.664166969219466,6.393767691051442,4.644815674700296,3.3245453118469976,1.4918991901868461,0.2516367679391615,0.22126159957054878,3.617590040095354,9.475753621823511,14.4246263127382,13.505797807075245,10.787933829042531,7.287509021792202,3.7234506790734345,3.3222069981870064,0.6956516840326902,1.6588236394105982,-1.8773683467347835,0.4196765956175135,4.523208179310651,-2.010600527271762,-1.7244530624144814
9,-55732.7224035246,49.78035790558365,-13.578110669633606,0.12325608022140222,0.6074713549178677,0.2752883473398844,1.301876991295713,0.32161177902836485,0.589390021536793,0.18805278640637885,0.19903406064478887,-0.88307868580417,-0.6781788045254904,-1.2714409710005725,-2.9385790846196915,-3.6166662399288865,-2.584428894794802,1.5945076362318646,5.213969821612694,7.100399955793619,7.8818854186210645,6.508673939574905,4.893943408984928,3.4850159823781204,1.6133628344892885,0.23016211192385921,0.42554255706768523,3.8358734444525333,9.705378153203089,14.72803996514833,13.59070488281256,10.812694220511318,7.281805323091541,3.7124272501933526,3.4692123034001985,0.7503840435179653,1.902788127682281,-1.7594209101372547,0.714758185423275,4.1708334196951675,-2.0059097222258293,-1.8522702368811763
