draws,lp__,overall_mean,yearly_trend,mu_jump,sigma_jump,p_jump,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,pi.1,theta.1,sigma.1,alpha.1,pi.2,theta.2,sigma.2,alpha.2,A.1.1,A.1.2,A.2.1,A.2.2,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
0,-48844.243926223535,50.37060444831028,-14.92315425256835,2.7377983655129334,9.90252447775031,0.18244618219623276,0.3721906237938782,0.8845118993753014,0.38005219782735317,0.19841900395958437,-0.8081566968332209,-1.272555136259829,-1.1205537022549705,-2.865775671429167,-3.3726925337183227,-2.096559608145837,2.0031946023130565,5.804947443222745,8.027883992936916,9.240901359496878,7.938139207415272,6.331458226256981,4.868482047151229,3.0587554788602804,1.3743991224662624,1.6483831188848406,4.808003476349238,10.865468219881157,16.46470099006259,15.588925772563446,12.688609506499397,8.793570361926177,5.060329490001174,3.7169795652119646,0.9211675193697968,0.9935935116480584,0.0023580644105913374,2.3202387009207355,0.9976447136392551,0.006406488351941575,0.5888971413075854,5.103528812714826,0.5549389666362713,0.7755006046175424,0.22449939538245756,0.4135728404455006,0.5864271595544994,1.7165404777188271,-0.665064926839607,1.4691286008827875,3.7178040504471297,-2.3071781903762014,-1.2242160795433745
1,-48848.66378022008,49.79155263169436,-14.788650117093765,3.80527339182263,10.06105751685901,0.18244618219623276,0.11176503600609501,0.3635433354916672,0.3830595939113238,-0.0725256967744372,-1.236391494925066,-1.4753937131096353,-1.1606884074731585,-2.8394570478125947,-3.438166022132101,-2.0248993377506497,2.590614700566474,6.397655430919285,8.407615437259558,9.562904327056268,8.62112205159408,6.747781534781584,5.198064049664871,3.2057630234710435,1.7759436004564384,1.8952529277390324,4.856533145701275,11.051659471342592,16.484482413333616,15.601818677521264,12.958013352258183,8.903125993974015,5.322192157278002,3.943536976211978,0.9049489958894652,0.9983697723551289,0.010744051100897073,2.312425004613991,0.9893134600642216,0.001630227644871085,0.5758135240215664,5.026732199083828,0.5622472810336884,0.7697673531021235,0.23023264689787648,0.39615292179420214,0.6038470782057979,1.5483245625455768,-0.9049274271106428,0.7344340955803383,4.2666046437324345,-2.297654605108789,-1.18924521796317
2,-48847.11248362129,49.9794696899234,-14.944033477141204,3.629513239123917,9.6972699078926,0.18244618219623276,0.398814079689929,0.1818671661034755,0.15882464938375146,0.28324302746359253,-0.8475298807288544,-1.022387838580165,-1.1704988739869808,-2.9436038089495287,-3.378359635973234,-2.1391858262064614,2.1101531323424627,5.998258060418958,8.42874480679805,9.345729146527477,8.392882993851035,6.646872494527799,5.157824784732443,3.104003011083871,1.5993965560441683,1.688808048566161,4.629791689125341,10.65707426045484,16.349596215418202,15.178944622297134,12.491786266761702,8.563410121323455,4.990024741244569,3.853562868745122,0.8787365872722318,0.989824082364867,0.002904323704780208,2.342843297676032,0.9970998897632322,0.010175917635133036,0.5506097600907391,5.0162369985949375,0.5765981166470554,0.7820872474348868,0.21791275256511322,0.3866754179772307,0.6133245820227693,1.6692245750894308,-0.7794964208119015,0.7608046614382966,3.570355658637996,-2.645687614204556,-1.1769093419527965
3,-48849.0055371376,49.753362138991434,-14.608302180513618,3.3218333414931043,9.620381203552952,0.18244618219623276,0.04627175559377821,0.40072717577416905,-0.03325290326466945,-0.10551117672703646,-0.6966285461246117,-0.6645571724753508,-1.2331425141363161,-2.9913835833232136,-3.2879472951439648,-2.165559601743959,1.9779949610786158,5.730580384534714,8.014274749148324,9.28371946147766,8.33208177206115,6.587056655279916,5.087660583131502,3.3437873030115575,1.8426805423852628,1.8781839382317036,5.094230098658889,11.192908325572018,16.701428053799027,15.300810967668644,12.600842013911352,8.61730385861163,4.898709522561928,3.562569469765305,0.7610486455719628,0.9948836660856802,0.007121575912137366,2.280419126926535,0.9929037224193128,0.0051163339143197595,0.5644935004079977,5.051993521510914,0.5686480938563717,0.7669789273147177,0.23302107268528227,0.41466197460455384,0.5853380253954461,1.6655495399943554,-0.44317707892453145,0.7845841239409945,4.410381763874847,-2.3840520735421395,-1.1314298076312859
4,-48850.13570599766,49.96042599774775,-14.70106950882983,3.688901994399258,9.507006067128092,0.18244618219623276,-0.09182190760200878,0.35861030158778007,-0.10632861246454403,-0.2998642773978153,-1.287286022622166,-1.6301641978867663,-1.0451920699294646,-2.5998672411795134,-3.272946194378557,-1.8700142581947297,2.5122618210131415,6.142630501905934,8.492002911230582,9.47544900142729,8.627297120398028,6.784635408064066,5.190757178218173,3.1769978231261695,1.7530227696404082,1.6788021415890428,4.690678731396389,10.969691060977107,16.428147036944335,15.156609860314234,12.316313527660594,8.430737541681982,4.652941721457304,3.4294900075102306,0.6866535135226332,0.9908889831277402,0.0022878772995503388,2.3062401860904664,0.9977147378969221,0.009111016872259792,0.599658407092314,4.902667634959331,0.5489991382794568,0.7941950784181623,0.20580492158183772,0.39522385403007587,0.6047761459699241,1.4585182479657675,-1.2731262568620463,0.5427733786585356,3.795228146188568,-2.001101898093389,-0.8497227780218743
5,-48855.47778907205,50.51493838832444,-15.089527454973398,3.132027102417106,9.465759658932692,0.18244618219623276,0.01817112275663943,0.13914182590186294,0.11243857169576055,0.16107210042235653,-1.1998973278973788,-0.9508500674903815,-1.1078391906231848,-2.6775175008672485,-3.16401653554872,-1.7329965902843172,2.7466958552013288,6.2881377449017695,8.365288977231945,9.557427629587803,8.503869611997123,6.60207483466357,4.989280250297708,3.0320073126079516,1.5982155101001152,1.7571995142404713,4.997583857225578,10.808946962043237,16.668374389633374,15.488383090054413,12.887701592666275,8.359022437764285,4.653712585070409,3.409505109812826,0.7281745621709707,0.9796473085547003,0.00027681692864082487,2.231949192290952,0.9997232213816301,0.02035269144529972,0.6025340925710353,5.140090492273802,0.5474226572478822,0.7775929528830929,0.22240704711690706,0.40498279935075,0.59501720064925,1.8176232453429157,-0.6004225096342618,0.9616120841558596,3.524241313336337,-2.0621604306275043,-0.9369864622052201
6,-48845.49528568513,49.96206214644555,-14.557173421940247,3.180173791025797,9.735799886216693,0.18244618219623276,-0.25371882654788425,0.3088345513578672,0.05849219700269062,-0.10188793947947715,-1.0021944966633158,-1.317903126432864,-1.084129759335871,-2.8617903537481806,-3.2721623870081817,-1.8308456927398775,2.505436719393647,6.123194981102328,8.277875868259878,9.220488191361882,8.201989531198688,6.432044521182054,4.861174387458766,3.0210263160221418,1.5506642020313823,1.668122401691815,5.028838498168537,11.040373973440914,16.82671033099788,15.893336629323644,12.915923663394866,8.732062252634579,4.728277644825059,3.3249676027639925,0.5769616385356796,0.996932380425721,0.0033279824803579983,2.2786971789172914,0.9966775491152843,0.0030676195742790346,0.6059932643987673,5.149915970958444,0.5455322996349483,0.7571944385867928,0.2428055614132072,0.4319079239595326,0.5680920760404674,1.6171293023757238,-0.7299411362175092,0.8245372678061887,3.9219127423062696,-1.8572256945401782,-0.7107454714946562
7,-48841.91934628412,50.16243080482667,-14.834055504137934,3.614923824122172,9.657898001502922,0.18244618219623276,0.05204750577359407,0.33431969466858485,0.2565077534774035,0.08306426821606273,-1.3809009906557979,-1.9934319264385036,-1.1577609408889205,-2.9688917410199327,-3.5530779709926446,-2.108601949685271,2.1588841377667443,6.009174071969498,8.430031289333538,9.48836076321271,8.218953345846304,6.536180806946236,4.988525353988749,3.0786344654784377,1.7056580962261743,1.8902942372518066,5.096744546652521,11.156842688228224,16.686689612248472,15.549292907700726,12.786168202083642,9.0375801594939,5.24490026113964,3.7927082712723954,0.8509139408347379,0.9848265097339406,0.0018750887395702492,2.3061523280754503,0.9981266681410464,0.015173490266059408,0.5993374099385389,5.034723147761857,0.5491753937275047,0.7900179329757222,0.2099820670242778,0.3872098192877971,0.6127901807122029,1.5663302286767788,-1.0324281792929857,0.8782990927478631,3.7768348861278933,-1.9135321206618934,-0.993327787422663
8,-48850.599953884725,50.21237934735291,-14.956295470278707,3.181511409329282,9.950812759527246,0.18244618219623276,-0.016896625673464685,0.6246915801420725,-0.10169364666722308,-0.24352680095597906,-1.0214861925209817,-0.9955334375649878,-1.2487966644564328,-2.7807027417691583,-3.3510559049791357,-2.0311223619963563,2.3521025384614602,5.834396288528893,8.22516181222559,9.25659050155944,8.446377590401879,6.601426315638535,5.076364568936169,3.1144616371440983,1.820564303281104,1.9097139287109939,5.0385689318331845,11.292419800528014,16.74578918673624,15.698929722084657,12.842408919371811,8.95840316381416,5.18011444173826,3.690313068532996,0.8159816240283696,0.9974545084745113,0.0067365342913603,2.345258372318924,0.9932861052898045,0.0025454915254886634,0.5920418049179228,5.204999087561415,0.5531966112585409,0.7688448915202912,0.23115510847970877,0.4434367652726982,0.5565632347273017,2.0022888060454482,-0.37121527817923206,1.4028617874133253,4.039209894346276,-2.313085897330956,-1.291250380439171
9,-48846.845675310185,49.67679884493091,-14.471432752796119,3.675177569177515,9.745552379462758,0.18244618219623276,-0.018827453600370428,0.18044894889934668,0.13444422214250085,-0.2258168574115108,-1.4093697814196635,-1.4536020395398235,-0.9407839031569388,-2.8285845733378956,-3.409038518675822,-2.15218361127418,2.075797557956602,5.810031707426432,8.378066076179094,9.60722583671862,8.509043319462696,6.607811171573534,5.2620436106776065,3.2653884031974956,1.6290835143921536,1.6977857515645796,4.8458165776846105,11.262203972071632,16.692640375070386,15.636208490487272,12.539325883724395,8.714194762708518,5.059441983508322,3.572088907078395,0.8879490060641837,0.9976138216047269,0.0035028556018610606,2.385690598304488,0.9965032722397532,0.0023861783952731086,0.5832825982259159,5.105433856938584,0.5580634584613281,0.7762534890902475,0.2237465109097525,0.417001888665342,0.5829981113346581,1.3652943880552917,-0.8897913668032109,1.0804520779183395,3.8110452897376526,-2.1932778829670325,-0.9080920975091963
