draws,lp__,overall_mean,yearly_trend,mu_jump,sigma_jump,p_jump,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,pi.1,theta.1,sigma.1,pi.2,theta.2,sigma.2,A.1.1,A.1.2,A.2.1,A.2.2,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
10,-48428.42456217509,55.7912514320665,-18.771156980746117,0.9715627583871981,44.89561075253418,0.0027436939330655846,-0.2284546257760909,0.0835961027311379,0.35570749130172713,-0.06214447695472311,-0.6040534626563929,-1.3435791222789528,-1.2588906345822835,-2.96598553540587,-3.5543294542963806,-2.0716860107964914,2.1871379198456573,6.044273819766622,8.394949791960844,9.546898695924165,8.482720527381609,6.640332543489758,5.334507693300791,3.7226625442046073,2.2396675014321223,2.5370657330113184,6.150388986529449,12.472057494096163,17.94197623038266,16.852908749685348,13.495984569274846,9.875830362117089,5.652860179047569,4.387037324036046,1.2136144208583377,0.9955765204611638,0.03826300794938544,2.6065450169435174,0.00442347953883615,0.43360131043540806,8.12385802648997,0.8822267261854235,0.11777327381457647,0.24501203286298395,0.7549879671370161,2.2722461158799234,0.405229151296153,0.16731330224114727,5.797026103597539,-0.998076276989667,0.28365409317042806
11,-48436.09554142025,56.51967442467287,-19.133760345845104,3.223386054167667,51.04308975180369,0.003647368317978029,0.30724234599219147,0.22038236184414584,0.5201042005858552,0.14850966556737666,-0.4384006353090987,-1.1277901605042633,-1.3184810267033917,-3.046436845093555,-3.8094418813973547,-2.2780932904985676,2.1187909898798636,5.529510811763963,8.154315266775752,9.144551895420918,8.185769601628026,6.327412246221831,5.142700424047407,3.517294602334961,2.060789964288966,2.191032014108996,5.84440003313391,12.273587378243883,17.890497287537066,17.01993727429326,13.747604594449793,9.613277470985947,5.627409569565523,4.212006781454243,0.9239242533591916,0.9961383693371015,0.029249043038624307,2.4547845102954926,0.003861630662898463,0.4171157531677544,7.9432656325918956,0.8632138198370352,0.13678618016296484,0.26088636964867473,0.7391136303513253,2.0448580866585906,0.440646755759785,1.0601873987446226,5.340245516631024,-1.6720111464176792,-0.9415410044933389
12,-48419.540940736275,55.902487774578596,-18.581651628283364,0.644322243012987,48.29995791022979,0.0031505312059951036,0.2179651464603232,0.5638682668364643,0.20714197958996455,0.28353753342784793,-0.37885073278198955,-1.39176844217267,-1.3085828952939718,-3.069765730807346,-3.697989400985271,-2.3217963824111885,1.8874988877971797,5.771080486670082,8.108930181121305,9.024084713365124,7.9975882195914565,6.219176136522514,4.800364544630568,2.946329289262198,1.503770456989538,1.6097718776457537,5.33318261488162,11.902404291124853,17.633072778326415,16.58973400862646,13.141920008195308,9.189418251149148,4.976587646222929,3.897308547588995,0.9942121974179139,0.9943077475661775,0.03610704618505649,2.5161987324428305,0.005692252433822542,0.43547801996130975,7.867316189106216,0.8608920172720592,0.13910798272794078,0.25435395311848824,0.7456460468815118,2.6865993847283955,0.5406762210781895,1.0622532159262426,5.374090534578627,-1.2832349327779988,-0.9261060785350704
13,-48420.88500777973,56.75309024059074,-18.973620012580156,1.2213950471467985,47.88432066583367,0.0025056666295087807,-0.16925511527791715,-0.028124498288719584,-0.18062832961257141,0.05615051898891964,-0.5061803755479413,-1.1665765232311425,-1.3863774639657662,-3.3813908715626217,-4.094882853296467,-2.6066384538009397,1.7884150837430253,5.451867929650338,7.86799892644361,8.878642297705658,7.907738888295801,6.152137929479915,4.6872497387790215,2.723701472669479,1.4251227944109157,1.808523542820819,5.37588265498194,11.767165777372135,17.448717457532705,16.59132412190815,13.372359607200359,9.420153626018504,5.2917802771421,4.152752983448512,1.1610670679517225,0.9882259210737246,0.03784397248075374,2.562133688133592,0.011774078926275355,0.40871045991235394,8.120902154944615,0.8809036779660956,0.11909632203390441,0.2634359933158501,0.7365640066841499,2.635587416376098,0.2283524844258187,1.2352034433198211,5.648977407893374,-0.9614398344509362,0.006214203118453356
14,-48428.21894331408,57.16707204322989,-19.924282430895673,0.5184345897705177,49.15786989850828,0.003999118660017864,0.4704523748992366,0.5831830762472604,0.11507604217522514,0.28604588826627697,-0.7645315304486783,-1.1354883004144696,-1.1727888148727665,-3.0641876107747654,-3.7680047886241335,-2.4298529651583434,1.8889905430181981,5.707837634706176,8.370237856705817,9.4032236204779,8.297632651304653,6.442578288692885,5.060458860186098,3.224613224275077,1.843362321754834,2.328519215900649,5.8111007920126685,12.298579701017879,18.075344239150045,17.293105209231246,13.951203605179652,9.990534649531805,5.427584703356813,4.165751619603788,1.0655203470069536,0.979700265312456,0.03048642136117647,2.5688330552840233,0.02029973468754398,0.453395812680185,8.104086420859687,0.8683403090247154,0.13165969097528463,0.2600521766456053,0.7399478233543947,2.4769827902945547,0.07920439043735582,1.2443300674543454,4.724448608351698,-1.2179466352052615,-1.0135304499932927
15,-48436.090116452775,57.35244922856241,-19.696831750350572,0.5969771397575216,46.14730991935479,0.00211249580703654,-0.2475174690079489,0.4285713027730864,-0.10124306950069573,0.42621758554953565,-0.3085675331577066,-0.6476725859370004,-1.4258245648581391,-3.3769632326647017,-4.094985142175662,-2.4609450008256513,1.8010227302991946,5.819153543296275,8.299406516092555,9.190694371893674,8.280879875738705,6.508049776101122,5.181624436264215,3.231209717466465,1.788202805587474,2.201772131071348,6.064684891977612,12.399926262503284,17.859121286894066,16.94736896748151,13.789266805311597,9.764169728547662,5.51482101300702,4.009921360575582,1.21021168603474,0.9801295679281352,0.02936616448651637,2.497305430560652,0.019870432071864785,0.44712610896452815,7.942661516418553,0.866483796382513,0.13351620361748695,0.24900708459324902,0.750992915406751,2.474637770591807,1.1956939013203056,0.512205038032587,5.681111518705498,-1.1748940140008897,-0.9434183724242529
16,-48422.9725995235,55.90750233814221,-18.411468734733788,1.0039518651268324,46.30624279389362,0.003624273238027109,0.1413292042684356,0.42390294184546506,0.46654021877511315,0.3915779092899165,-0.3670124718749445,-1.383743622966548,-1.2678190724960468,-3.1507023921015707,-3.70796256965291,-2.3060694300306714,1.8206272559931695,5.449301925254484,7.962535154425504,9.266494959961607,8.008735268210915,6.154887186644757,4.8529242864964,2.926338914249209,1.4798707977783392,1.7390275691928214,5.33559024875841,11.755481817931603,17.484628647429666,16.54807481058436,13.482848590910603,9.362796801334401,5.143700056041355,3.8132874021030654,0.9038792425988479,0.9979115240483248,0.029768038652652914,2.5127543327617046,0.0020884759516751616,0.43686899762674336,7.89381653653599,0.8654017009896577,0.13459829901034226,0.26521094067164847,0.7347890593283515,2.3178071511638803,0.7124964118220244,1.3145178419523675,5.379811299265437,-1.1947410939482053,-1.0342778724187949
17,-48426.56920592231,57.215809158818026,-19.264127657163865,0.9545984879865933,50.23460131722625,0.0026374727676350433,0.10291449736706187,0.40831656051577536,0.3437013752222138,-0.18716335394132239,-0.8618674847277353,-1.2619793614571944,-1.3799904745217788,-3.250956013499623,-3.767696517994122,-2.4583803611911756,2.0009218646561884,5.882784017204678,8.282966518285637,9.088678314935674,8.038547104624364,6.245220841528044,4.631547707345576,2.6521172651184655,1.2170829477636602,1.5964774418733578,5.2104418438274225,11.616650551208355,17.399578484384076,16.57862057001178,13.107848524614836,9.223556685636925,5.34214904933985,4.002266763504351,1.072629935829047,0.9910127357670101,0.03551811415139316,2.5244133295496267,0.0089872642329899,0.42589562962603356,7.763475098191024,0.873395256279011,0.12660474372098895,0.24217468996066419,0.7578253100393358,2.287926632648041,0.5128323377376969,1.166845733033195,5.572784556122835,-1.153721106067075,-0.6415119508660073
18,-48430.49368938105,55.98883411702304,-18.515064394014168,0.27274116458677283,47.560686232639654,0.0026539344384635135,-0.4123471494596564,-0.17014638075623484,0.21224691535575044,-0.07042933452158744,-0.47549963796471684,-1.388639515080623,-1.2257879715117284,-3.1221004931445235,-3.8825731182755274,-2.629187319250251,1.6719901855097306,5.396279419228998,7.80570139683371,8.685213076741187,7.549298474691257,5.947001957733404,4.442681445141767,2.5374060930563114,0.9803625949470399,1.4477322293207433,5.014575578205249,11.204706247433977,16.984141351957422,16.125404551610814,12.790138667919082,8.980762525903108,5.072909259763642,3.9248891265268977,1.0790151824886398,0.9929907397545779,0.031510315737841035,2.480347530389566,0.007009260245422144,0.39803298010991517,7.811035364937354,0.8746310337477975,0.1253689662522025,0.24072534856977612,0.7592746514302239,2.2493269495616297,0.30526353177066207,0.6405846874416797,5.79084738805634,-0.9795722727171273,-0.1527532848592918
19,-48429.46523557342,56.07511525073659,-19.218227204073695,0.06981359843293994,49.50894601557214,0.004565561887833676,0.5296961891591416,0.9000234233082106,0.24929469427203238,0.5441200143092462,-0.6583227245736362,-1.3385422990215523,-1.1950633881398218,-3.170019010541917,-3.88593815013359,-2.547274781950042,1.8815393543044294,5.428328939468319,7.782497099474129,9.040780875554018,8.165554740369231,6.204111851418654,4.846519726583853,3.0844970979045705,1.561856746283794,1.9333582539517289,5.700251725937064,11.917304567119404,17.512187623190822,16.355667736919795,13.145473190329138,9.276261190266371,5.1777156975133956,3.9117597019107984,1.0273272817482546,0.994444389183319,0.04718133327948737,2.5612515578397193,0.005555610816680989,0.4199837805140441,7.94976482460212,0.8689650740569934,0.13103492594300659,0.25823012014959684,0.7417698798504031,2.307738631927358,-0.46809679190629483,0.9691255996540067,4.891329380400237,-1.1568909460680707,-0.2419413231686245
