draws,lp__,overall_mean,yearly_trend,theta,sigma,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
0,-52056.06191707714,55.00689673469873,-17.74307292582397,0.165162603414817,5.04083650593504,0.25345383472895033,0.9966418638136709,0.6703999209316075,0.4578562195649084,-1.2206113503135618,-1.7457620168857944,-1.7693401482308813,-4.065236757841263,-5.109495993061574,-3.53031770834386,1.0868886815527818,5.123789663346299,7.535278358984812,9.03464691303101,8.31232545236595,6.411791862666649,4.694902809372661,2.6375106369401413,1.0408021228213056,1.3204739957633096,4.480251001601571,12.486165468162259,20.392644970521584,19.12022820334227,14.231477071826722,8.30889746729067,3.714137604192648,3.070394058397065,0.8452434494401073,1.9101163532033896,-0.5471351052496098,0.40250470240485775,4.932741996914791,-1.691404336097609,-1.6353338566828879
1,-52058.62606758913,55.50589709360975,-18.057725288086374,0.1649929457603362,5.084319805472741,0.6199032688913896,1.0950249251870061,0.6500651700537845,0.2612208255356823,-0.5833754889785366,-2.031745475145703,-1.805932907507493,-4.515342972462871,-5.289220407954127,-3.44949036647332,0.9061658358728455,4.901960211283974,7.187993816164232,8.664812039141683,7.874000609687189,5.304790818022697,3.684235975917786,1.8127108942168777,0.14604992701471625,0.09387216601364096,3.292449250253116,11.801747775429545,19.379039425047917,18.315817011759002,13.61260648585484,7.785438091273661,3.271839400872259,3.1922630078825165,0.8116432381716692,2.056964388213681,-0.40760320739261025,0.5017306666181336,4.640819772854228,-2.2546610807561955,-1.3344562437602807
2,-52056.03332144766,53.68242174128976,-16.84576165458094,0.16691304132303308,5.087390604080688,0.3781200231213135,1.4063675546324468,1.6264173253066945,0.8959034213584203,0.09726611965811667,-1.0687156980253854,-1.6287467320490505,-4.244498214771478,-5.572511180285815,-3.8186305371921265,0.8483439524433677,4.915596488591594,7.585853563659364,9.043062886931619,8.056596778899646,5.602688481350143,4.3320890160865435,2.142576163432838,0.2376493997114633,0.28456188238296976,3.2493136869036787,11.440860871538447,19.2475462528868,18.30846760840443,13.51131083096638,7.664389956013703,3.142049165472378,3.0308984519092266,0.6103366655528794,1.5805296171143886,0.04365415726733329,0.7946892529155516,5.147148971466792,-1.3453031505362587,-1.155396086918363
3,-52055.09165547353,55.19278222668427,-18.091516927041642,0.171409607534761,5.088249111832163,0.2361201121194864,1.0483070396590244,0.8484211828269128,-0.09365256069626152,-1.0314911816503818,-1.5182207211282615,-1.503837887084533,-4.145897256165703,-5.348302014341472,-3.6161304345014367,0.9425583979946773,4.685472785918596,7.058829867328012,8.411207154393828,7.5054660877156785,5.361296380894125,4.049936885787823,2.1175866351241983,0.15319471304485766,0.15312342086564662,3.373863169986356,11.6505191696211,19.33393941100512,18.33902658279657,13.206181707657837,7.673933469083442,3.311163089270653,3.0822250063808347,0.6073241774175607,2.272900781313426,-0.6222397526288161,0.030511583612300462,5.208753833726787,-1.4077359266930194,-1.2322211820079976
4,-52058.25178810202,53.6514439219849,-16.867778595697363,0.17138211183107052,5.0077277334406345,0.3690733570042337,1.1076543350002852,1.1185394394858568,0.16483356341662272,-0.8754959810438597,-1.944367737427571,-1.8091869646718741,-4.133668135221212,-4.924075813738454,-2.910232554972758,1.6888966687446898,5.694124374640528,8.173008810916755,9.311648481528193,8.583545782229198,6.470587419879021,4.569461572995288,2.4616747114096973,0.6687504049300148,0.5822066342151877,3.762418663241093,12.07031182093523,20.180999692105395,18.76816407318528,13.705947336719518,7.766565501553005,3.385612089160201,3.2019679727426222,0.6930328027860481,2.4247782008687,-0.25630457422705505,0.2470800590061773,5.514315239444486,-1.8511239615904231,-0.9139508396211711
5,-52054.30934122437,55.19255660510296,-17.654101360273174,0.1800110210699162,5.07476979998194,0.0411369694212735,0.4310437942566853,0.4361264808481077,0.3678864055823325,-0.9006664307335464,-1.3070073884518958,-1.8759207250910075,-4.321298995452617,-5.4745141809940465,-3.6896460642819817,1.019665841954961,4.9115050759226655,7.358142956170901,8.788641293865803,7.796246499262518,5.548027319321571,4.077967280634011,1.733004594177744,-0.0883169992081575,-0.01998800801381198,3.120932269964422,11.696809478113368,19.596160190235594,18.883371876149873,13.834189424897945,8.081618693478402,3.4894459623834164,3.1682008097640724,0.6488040618873819,1.9354420330419113,-0.142438289745561,0.4150160513772645,4.193151745164191,-1.9127685301528912,-1.10502213914526
6,-52051.912734635276,54.94505122279378,-17.347726111554355,0.1791037201307837,5.0812112733710535,0.8348266268764216,0.5532345471731573,0.13136485712497592,0.07221501482876905,-0.710606395009513,-2.2310587679291087,-1.891327329898935,-4.3396116920151355,-5.193101265748319,-3.490456550195705,1.083788997078123,4.958808111374759,7.274254000663232,8.54923043404321,7.779166695081944,5.68732755154352,4.139572102651346,2.1851862009322653,0.5156267653104353,0.6061565717838656,3.7417904981584744,11.820458047383074,19.662710889962703,18.62110991309269,13.499457237414742,7.474788986225628,2.943096894865249,2.860221296342211,0.638792225970387,2.573725471539736,-0.23483365350322183,0.06602790196205914,5.034784906371196,-2.0631169481943217,-1.1757376512685351
7,-52057.031354272396,53.62953398538407,-16.9142021298691,0.17655482493269412,5.088771573947663,-0.017539553959125168,0.4125526054295675,0.5037739407986437,0.042858859999798826,-1.2157074824350467,-1.7159058926334263,-1.839497311148031,-4.555869765986356,-5.299767946741795,-3.446785838867318,1.3664695540317153,5.3929248911998675,7.707307161165264,9.248584508075307,8.254929370260566,6.011081665033721,4.731128735401592,2.423021234110763,0.9186742592500035,0.8157761199921283,4.044940240057214,12.11975461571694,19.928684163159332,19.02077021122651,13.757834268248496,7.959576565865469,3.5054482724841756,3.231374607827061,0.7706346984336112,1.9447132879692361,0.4039670340493461,0.8637726281754377,5.550081481158854,-1.821077121764399,-1.1437589713665135
8,-52062.18019567452,53.61841932585599,-17.38070958596939,0.17826850105182157,5.139673677509215,0.850718459717307,1.1070558788622962,0.8946313250506782,1.1508092004012,0.3728119938155292,-1.1851114710706212,-1.3555613676561835,-3.653868531326929,-4.831619360526616,-3.2654518923322495,1.543052163832029,5.207517263452132,7.419195116260907,9.238534705208435,8.354245815477215,6.05537360464804,4.696270799976142,2.7197924065024734,0.9935161072272402,0.8791496012854056,3.896643378787044,12.045984201798396,19.94741046387083,18.808730006787258,13.640312726426039,7.778562970179747,3.75398897262404,3.203754070850545,0.7762974082005015,1.883899045615329,0.05049953229213805,0.35468250386922073,4.824399942457816,-1.2737836004868826,-1.4365214189787783
9,-52054.31742465108,55.16920882066657,-17.709758705537897,0.17485638466381767,5.108969448588089,0.14402973068384295,0.2674693925083086,0.17750425821631008,0.057300346679853106,-1.1057573604032447,-1.2952296969691686,-1.7166615700843462,-4.477349690266608,-5.317084253825342,-3.655077094962147,0.8049329699555404,4.732906823220542,7.503474420233074,8.945805622272495,7.788630911167348,5.560249942436375,3.81879836834894,1.9045413517342622,0.09316305896608307,0.2454316004819857,3.4457340312311096,11.763807123881243,19.747765957637924,18.638443820600447,13.936445690468794,7.854921697940871,3.551629566396975,3.1910768588597063,0.7962644908285625,2.012021232675705,-0.010174828092082457,0.43363160420308605,4.203745017582834,-1.6874703248472362,-0.9660743559302918
