utc_timestamp,GB_GBN_price_day_ahead,GB_GBN_solar_generation_actual,GB_GBN_wind_generation_actual,GB_GBN_load_actual_entsoe_transparency,GB_GBN_load_forecast_entsoe_transparency,log1p_solar_generation,solar_generation_filled,log1p_solar_generation_filled,log1p_wind_generation,log1p_wind_generation_lag1,wind_generation_filled,log1p_wind_generation_filled,log1p_load_forecast,load_forecast_filled,log1p_load_forecast_filled,log1p_price_day_ahead,price_day_ahead_filled,log1p_price_day_ahead_filled,is_saturday,is_sunday
2014-12-31 23:00:00+00:00,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0
2015-01-01 00:00:00+00:00,,,,26758.0,32057.0,,0.0,0.0,,,0.0,0.0,10.375302041185826,32057.0,10.375302041185826,,0.0,0.0,0,0
2015-01-01 01:00:00+00:00,,,782.0,27166.0,31738.0,,0.0,0.0,6.663132695990803,,782.0,6.663132695990803,10.36530148759794,31738.0,10.36530148759794,,0.0,0.0,0,0
2015-01-01 02:00:00+00:00,,,785.0,24472.0,30690.0,,0.0,0.0,6.666956792429207,6.663132695990803,785.0,6.666956792429207,10.33172473098649,30690.0,10.33172473098649,,0.0,0.0,0,0
2015-01-01 03:00:00+00:00,,,776.0,23003.0,28442.0,,0.0,0.0,6.655440350367647,6.666956792429207,776.0,6.655440350367647,10.255657363586067,28442.0,10.255657363586067,,0.0,0.0,0,0
2015-01-01 04:00:00+00:00,,,773.0,21832.0,25978.0,,0.0,0.0,6.651571873589727,6.655440350367647,773.0,6.651571873589727,10.16504379833675,25978.0,10.16504379833675,,0.0,0.0,0,0
2015-01-01 05:00:00+00:00,,,766.0,21184.0,24645.0,,0.0,0.0,6.642486801367256,6.651571873589727,766.0,6.642486801367256,10.112369894498068,24645.0,10.112369894498068,,0.0,0.0,0,0
2015-01-01 06:00:00+00:00,,,763.0,20834.0,25096.0,,0.0,0.0,6.638567789166521,6.642486801367256,763.0,6.638567789166521,10.130503596064212,25096.0,10.130503596064212,,0.0,0.0,0,0
2015-01-01 07:00:00+00:00,,,778.0,21890.0,25534.0,,0.0,0.0,6.658011045870748,6.638567789166521,778.0,6.658011045870748,10.147805339081744,25534.0,10.147805339081744,,0.0,0.0,0,0
2015-01-01 08:00:00+00:00,,,820.0,23137.0,26746.0,,0.0,0.0,6.710523109452428,6.658011045870748,820.0,6.710523109452428,10.194177596502213,26746.0,10.194177596502213,,0.0,0.0,0,0
2015-01-01 09:00:00+00:00,,13.0,836.0,25206.0,29752.0,2.6390573296152584,13.0,2.6390573296152584,6.729824070489475,6.710523109452428,836.0,6.729824070489475,10.300685246225866,29752.0,10.300685246225866,,0.0,0.0,0,0
2015-01-01 10:00:00+00:00,,63.0,879.0,27222.0,33188.0,4.1588830833596715,63.0,4.1588830833596715,6.779921907472252,6.729824070489475,879.0,6.779921907472252,10.40997377470302,33188.0,10.40997377470302,,0.0,0.0,0,0
2015-01-01 11:00:00+00:00,,54.0,899.0,29048.0,35837.0,4.007333185232471,54.0,4.007333185232471,6.802394763324311,6.779921907472252,899.0,6.802394763324311,10.48676406196036,35837.0,10.48676406196036,,0.0,0.0,0,0
2015-01-01 12:00:00+00:00,,46.0,958.0,31222.0,37486.0,3.8501476017100584,46.0,3.8501476017100584,6.8658910748834385,6.802394763324311,958.0,6.8658910748834385,10.531749485189057,37486.0,10.531749485189057,,0.0,0.0,0,0
